    PID CMD
   2414 /usr/libexec/ibus-extension-gtk3
   2420 /usr/libexec/ibus-portal
   4375 /usr/libexec/ibus-x11
   4381 /usr/libexec/mutter-x11-frames
    901 /usr/libexec/power-profiles-daemon
   1362 /usr/libexec/rtkit-daemon
    950 /usr/libexec/switcheroo-control
   2646 /usr/libexec/tracker-miner-fs-3
    973 /usr/libexec/udisks2/udisksd
   1498 /usr/libexec/upowerd
   2585 /usr/libexec/xdg-desktop-portal
   2647 /usr/libexec/xdg-desktop-portal-gnome
   2681 /usr/libexec/xdg-desktop-portal-gtk
   1869 /usr/libexec/xdg-document-portal
   1907 /usr/libexec/xdg-permission-store
    897 /usr/lib/polkit-1/polkitd --no-debug
    929 /usr/lib/snapd/snapd
    340 /usr/lib/systemd/systemd-journald
    970 /usr/lib/systemd/systemd-logind
    546 /usr/lib/systemd/systemd-oomd
    550 /usr/lib/systemd/systemd-resolved
    556 /usr/lib/systemd/systemd-timesyncd
    417 /usr/lib/systemd/systemd-udevd
   1819 /usr/lib/systemd/systemd --user
    948 /usr/sbin/cron -f -P
   1265 /usr/sbin/cups-browsed
   1246 /usr/sbin/cupsd -l
   1268 /usr/sbin/gdm3
   1282 /usr/sbin/kerneloops
   1270 /usr/sbin/kerneloops --test
   1149 /usr/sbin/ModemManager
   1015 /usr/sbin/NetworkManager --no-daemon
   1094 /usr/sbin/rsyslogd -n -iNONE
   1027 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
     51 [watchdogd]
